Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
8/30/19,"1,018",,,,,,
8/31/19,179,,,,,,
9/1/19,288,,,,,,
9/2/19,335,,,,,,
9/3/19,770,,,,,,
9/4/19,737,,,,,,
9/5/19,605,,,,,,
9/6/19,604,,,,,,
9/7/19,197,,,,,,
9/8/19,352,,,,,,
9/9/19,683,,,,,,
9/10/19,797,,,,,,
9/11/19,904,,,,,,
9/12/19,646,,,,,,
9/13/19,488,,,,,,
9/14/19,495,,,,,,
9/15/19,328,,,,,,
9/16/19,757,,,,,,
9/17/19,919,,,,,,
9/18/19,937,,,,,,
9/19/19,588,,,,,,
9/20/19,740,,,,,,
9/21/19,243,,,,,,
9/22/19,330,,,,,,
9/23/19,689,,,,,,
9/24/19,971,,,,,,
9/25/19,684,,,,,,
9/26/19,893,,,,,,
9/27/19,628,,,,,,
9/28/19,533,,,,,,
9/29/19,303,,,,,,
9/30/19,"1,203",,,,,,
,"65,455",,,,,,
Total,,,,,,,
/quiz/,"11,046","8,828",00:00:50,"5,763",29.17%,24.71%,$0.00
/books/multipliers/,"10,559","8,953",00:01:50,"8,272",61.45%,58.99%,$0.00
/quiz/take-the-quiz/,"9,190","8,126",00:04:52,"1,748",86.96%,74.48%,$0.00
/,"4,467","3,843",00:01:15,"3,514",53.71%,52.72%,$0.00
/leading-remote-teams/,"2,658","2,446",00:04:49,"2,421",91.12%,90.22%,$0.00
/who-we-are/our-team/,"1,522","1,085",00:00:48,364,51.92%,29.24%,$0.00
/services/assessments/,"1,077",955,00:02:13,385,62.34%,50.23%,$0.00
/services/workshops/,849,694,00:02:04,237,59.49%,40.64%,$0.00
/books/the-multiplier-effect/,773,678,00:01:26,374,53.48%,43.98%,$0.00
/services/keynotes/,679,561,00:01:52,86,76.74%,38.88%,$0.00
,"51,567","43,010",00:01:41,"25,969",58.11%,50.36%,$0.00
Day Index,Pageviews,,,,,,
1/1/20,802,,,,,,
1/2/20,711,,,,,,
1/3/20,413,,,,,,
1/4/20,187,,,,,,
1/5/20,273,,,,,,
1/6/20,563,,,,,,
1/7/20,565,,,,,,
1/8/20,603,,,,,,
1/9/20,475,,,,,,
1/10/20,466,,,,,,
1/11/20,226,,,,,,
1/12/20,361,,,,,,
1/13/20,801,,,,,,
1/14/20,669,,,,,,
1/15/20,641,,,,,,
1/16/20,805,,,,,,
1/17/20,500,,,,,,
1/18/20,266,,,,,,
1/19/20,284,,,,,,
1/20/20,658,,,,,,
1/21/20,596,,,,,,
1/22/20,564,,,,,,
1/23/20,591,,,,,,
1/24/20,468,,,,,,
1/25/20,211,,,,,,
1/26/20,248,,,,,,
1/27/20,600,,,,,,
1/28/20,972,,,,,,
1/29/20,750,,,,,,
1/30/20,575,,,,,,
1/31/20,480,,,,,,
2/1/20,215,,,,,,
2/2/20,245,,,,,,
2/3/20,601,,,,,,
2/4/20,773,,,,,,
2/5/20,492,,,,,,
2/6/20,885,,,,,,
2/7/20,979,,,,,,
2/8/20,656,,,,,,
2/9/20,612,,,,,,
2/10/20,"1,027",,,,,,
2/11/20,915,,,,,,
2/12/20,753,,,,,,
2/13/20,732,,,,,,
2/14/20,522,,,,,,
2/15/20,280,,,,,,
2/16/20,394,,,,,,
2/17/20,584,,,,,,
2/18/20,933,,,,,,
2/19/20,931,,,,,,
2/20/20,760,,,,,,
2/21/20,529,,,,,,
2/22/20,234,,,,,,
2/23/20,308,,,,,,
2/24/20,643,,,,,,
2/25/20,644,,,,,,
2/26/20,841,,,,,,
2/27/20,652,,,,,,
2/28/20,436,,,,,,
2/29/20,296,,,,,,
3/1/20,223,,,,,,
3/2/20,646,,,,,,
3/3/20,796,,,,,,
3/4/20,"1,121",,,,,,
3/5/20,660,,,,,,
3/6/20,700,,,,,,
3/7/20,261,,,,,,
3/8/20,373,,,,,,
3/9/20,753,,,,,,
3/10/20,"1,266",,,,,,
3/11/20,754,,,,,,
3/12/20,539,,,,,,
3/13/20,439,,,,,,
3/14/20,198,,,,,,
3/15/20,317,,,,,,
3/16/20,517,,,,,,
3/17/20,423,,,,,,
3/18/20,345,,,,,,
3/19/20,371,,,,,,
3/20/20,332,,,,,,
3/21/20,204,,,,,,
3/22/20,130,,,,,,
3/23/20,325,,,,,,
3/24/20,397,,,,,,
3/25/20,443,,,,,,
3/26/20,475,,,,,,
3/27/20,271,,,,,,
3/28/20,246,,,,,,
3/29/20,158,,,,,,
3/30/20,622,,,,,,
3/31/20,"3,066",,,,,,
,"51,567",,,,,,
Total,,,,,,,
/about/our-team/,"5,287","2,217",00:00:29,"1,553",0.13%,27.97%,$0.00
/,"5,046","2,184",00:00:24,"1,976",0.60%,28.54%,$0.00
/services/,"2,727","1,024",00:00:23,105,0.00%,18.04%,$0.00
/services/?target=blank,"1,288",575,00:00:17,574,0.35%,33.00%,$0.00
/services/workshops/,"1,256",545,00:00:40,252,0.80%,27.63%,$0.00
